match_external_id,player_steam_id,hero_id,team_external_id,kills,deaths,assists,gpm,xpm,net_worth,last_hits,denies,hero_damage,tower_damage,player_slot
8773164413,315850275,42,9025669,5,4,20,473,599,12537,134,3,17413,3678,1
8773164413,169359670,23,9025669,6,1,20,740,972,19973,310,2,17524,3864,2
8773164413,338281289,84,9025669,7,5,22,499,637,12862,55,0,15384,0,3
8773164413,307624442,25,9025669,16,7,5,706,874,18956,236,2,21524,6859,4
8773164413,844586465,86,9025669,2,1,24,392,732,11120,92,1,14935,623,5
8773164413,845344315,55,8849833,4,7,9,478,491,11979,226,6,14128,794,1
8773164413,358783974,26,8849833,9,6,5,532,720,12215,207,4,19190,234,2
8773164413,311095642,100,8849833,1,9,9,275,368,6658,41,3,5717,24,3
8773164413,402870848,5,8849833,3,9,4,286,375,7125,83,0,11895,0,4
8773164413,341654420,54,8849833,1,5,6,512,632,13056,260,9,16895,908,5
8773163240,185001854,136,9600331,7,15,13,376,561,11929,95,4,19339,666,1
8773163240,242885483,58,9600331,7,4,8,376,603,13281,157,1,26978,1297,2
8773163240,145372258,29,9600331,4,8,18,495,705,19122,320,9,33071,0,3
8773163240,182322692,11,9600331,9,7,7,643,739,27016,527,24,31198,1490,4
8773163240,197574429,13,9600331,4,5,15,471,708,17178,338,3,22388,236,5
8773163240,283545554,19,9373482,14,4,15,819,1128,36756,542,4,50595,17250,1
8773163240,183126002,51,9373482,6,7,27,395,735,16160,48,0,26365,39,2
8773163240,197813893,129,9373482,3,10,25,514,742,20144,303,11,24931,616,3
8773163240,133066657,23,9373482,11,2,20,669,962,29626,433,4,32315,3427,4
8773163240,120416283,110,9373482,5,8,28,430,666,16624,107,0,31045,276,5
8773144900,358783974,36,8849833,12,1,9,802,1092,23011,352,5,40044,1664,1
8773144900,341654420,82,8849833,2,1,9,631,684,18096,340,14,9523,3516,2
8773144900,845344315,61,8849833,6,4,12,628,814,17592,264,10,17196,9629,3
8773144900,311095642,22,8849833,0,5,14,298,451,7790,41,0,13276,213,4
8773144900,402870848,102,8849833,3,4,11,316,596,8597,17,0,4770,464,5
8773144900,169359670,106,9025669,5,3,4,553,726,15179,303,2,29731,339,1
8773144900,307624442,49,9025669,4,6,3,534,559,13965,281,10,20167,0,2
8773144900,315850275,81,9025669,3,4,6,427,491,11460,161,6,10548,1060,3
8773144900,338281289,50,9025669,0,5,9,262,406,6801,55,1,8932,290,4
8773144900,844586465,20,9025669,3,5,4,257,426,6461,65,1,12244,328,5
8773135284,283545554,114,9373482,7,2,6,589,574,14369,158,33,13686,6113,1
8773135284,183126002,51,9373482,1,2,18,319,457,6700,18,1,11660,23,2
8773135284,197813893,38,9373482,13,2,6,720,828,17074,222,6,14177,8073,3
8773135284,133066657,13,9373482,7,2,8,568,633,11588,160,5,14420,1703,4
8773135284,120416283,64,9373482,1,2,17,352,464,8859,40,1,7038,3812,5
8773135284,185001854,112,9600331,4,10,3,252,356,4945,26,1,13379,0,1
8773135284,242885483,123,9600331,2,5,5,248,275,5075,29,2,6627,136,2
8773135284,145372258,29,9600331,0,4,6,347,404,8543,145,0,5698,85,3
8773135284,182322692,48,9600331,1,5,3,465,547,11108,248,11,6562,0,4
8773135284,197574429,126,9600331,3,5,3,393,452,8607,121,5,10331,134,5
8773116005,169359670,35,9025669,9,4,15,759,1255,25793,375,7,32867,16815,1
8773116005,307624442,70,9025669,15,5,9,708,1099,23612,294,6,21879,4050,2
