external_id,team_name,acronym,current_rank,logo_path,wins,losses,last_match_time
9025669,CrimsonSky,CS,1007,https://cdn.steamusercontent.com/ugc/9869145255454310108/C48D0B6C8A36839BACAC2551931EAAC88B295200/,665,665,1776294160
8849833,VERTEX PACK,vP,1021,https://cdn.steamusercontent.com/ugc/2047503411652997007/08F27DE9B0F0C1AB4C669A5785486AAA77E8917C/,852,794,1776294160
9600331,Zetta Games,ZettaG,949,https://cdn.steamusercontent.com/ugc/11919673112782701/789554566EAFA87519659EABDBFE03DAC8BF9A4D/,16,26,1776294162
9373482,Team Antares,[T.A.],1077,https://cdn.steamusercontent.com/ugc/2029469995688767468/C59774140B651ECE73A473EC4D80E2FBE8B2E899/,6,0,1776294162
8850015,DARKNESS GAMING,DG,1004,https://cdn.steamusercontent.com/ugc/9258854517714786764/970A15CB7D3F860BA71E931D9D5C10692F27EA01/,445,498,1776285819
8879077,Titan Strikers,Ts,1035,https://cdn.steamusercontent.com/ugc/17496754558050466858/4302EEC3EDF2F9050006D44B15D29C8DFE6148BA/,507,497,1776285819
10053545,EARTH GAMING,EARTH,1026,https://cdn.steamusercontent.com/ugc/18033106354114366402/77E9DE732E30A3B8F9296681DA2456659B421950/,18,15,1776284546
9829371,Rock n Sports,RNS,891,https://cdn.steamusercontent.com/ugc/17070848244520593825/1AE5C6F12675015D112CA0FDD51C386E7492E261/,7,16,1776284546
9724428,Shinigami Gaming,N/A,1072,https://cdn.steamusercontent.com/ugc/17558057294716184/C12857D2734CBDE2305EBCB7FABFB66FC5D5C148/,48,48,1776282053
9743822,Teiko,N/A,1157,https://cdn.steamusercontent.com/ugc/9678485233089315/3FF228A7F7409318EEC092C18C14AF690A009B35/,52,26,1776282053
9678463,Estar Backs,EB,1167,https://cdn.steamusercontent.com/ugc/8546247575522013/0940BE82E218C71369C672C95943445AA450EF45/,112,84,1776273668
8971308,x5 Gaming,x5,1030,https://cdn.steamusercontent.com/ugc/15382253660223640555/AEE503D1070680F0A8FED720B7D63FB464FDB9AD/,161,156,1776273668
9395679,Shinigami Gaming,Shinigami,1051,https://cdn.steamusercontent.com/ugc/2499008933815848006/6204E1A0315057E9F227EDBCD42DB8F193B593AF/,152,128,1776273282
9948492,Elite Eclipse,EE,994,https://cdn.steamusercontent.com/ugc/13385119199365595807/8DE99E9FEB3212DA4970EACF23AD9BFBE939BD45/,12,11,1776273282
5014799,Nemiga Gaming,Nemiga,1227,https://cdn.steamusercontent.com/ugc/1761446291384253796/DDD9E9CE3AC50467578944F685C4BD84ED0285B7/,655,650,1776272216
10019843,Inner Circle x Insanity,ICxI,1133,https://cdn.steamusercontent.com/ugc/9964979241844276783/64DDB27F8A50FEA6869CFD8392ED29CE674E26C1/,53,51,1776272216
9426115,Dark Rebellion,DR,1109,https://cdn.steamusercontent.com/ugc/2471989872563605684/46813E19616E0715D879EFB5049D3A1DE331488B/,1205,1249,1776269325
9425656,LSG,LSG,1005,https://cdn.steamusercontent.com/ugc/2497885570409092010/7A0CAB8AFDEC8BDE65F27E01C713A6B5459B65AD/,1107,1156,1776269325
9677506,Shinigami Gaming,N/A,1097,https://cdn.steamusercontent.com/ugc/53581609865900242/C12857D2734CBDE2305EBCB7FABFB66FC5D5C148/,122,70,1776269176
