external_id,name,tier
19201,Dota 2 Space League,Professional
19503,CCT Dota 2 Season 2 South America Series 4,Professional
18867,Ultras Dota Pro League  2025-26,Professional
18866,European Pro League  2025-2026 Season,Professional
18959,Destiny League,Professional
19201,Dota 2 Space League,Professional
19201,Dota 2 Space League,Professional
18959,Destiny League,Professional
18959,Destiny League,Professional
18867,Ultras Dota Pro League  2025-26,Professional
18865,EPL World Series: Southeast Asia 2025-2026 Season ,Professional
19502,Trinity League,Professional
19448,DreamLeague Season 29 Qualifiers,Professional
18477,天蝉杯,Professional
19467,Liga OverPower Season 2,Professional
16251,Party To Play league,Professional
19255,Premier Series,Professional
19575,ESL challenger China powered By ACL,Professional
19532,DreamLeague Division 2 Season 4,Professional
19543,PGL Wallachia 2026 Season 8,Professional
19434,Americas Open Premier Cup,Professional
19176,SIVVIT League,Professional
19507,FONBET MEDIA ELEAGUE SEASON 4 DOTA2 2026,Professional
19538,RES Unchained - A Blast Dota Slam VII Qualifier SEA,Professional
19539,RES Unchained - A Blast Dota Slam VII Qualifier EU,Professional
19520,BLAST Slam VII China Qualifier,Professional
19422,ESL One Birmingham 2026,Professional
19378,Tennisi Stampede Champions - Season 2,Professional
17909,WBT CYBER CLUB #1,Professional
19464,1win Streamers League #1,Professional
19371,CIS Esports League,Professional
19421,CCT Dota 2 Season 2 Series 8,Professional
